airline,origin_airport,dest_airport,month,day_of_week,hour_of_day,distance,departure_delay,weather_condition,is_holiday
DL,ATL,ORD,7,1,8,606,12.3,Clear,0
UA,ORD,DFW,7,1,14,802,0.0,Clear,0
AA,DFW,LAX,7,1,18,1235,25.7,Rain,0
DL,LAX,MIA,7,2,9,2342,8.1,Clear,0
UA,MIA,JFK,7,2,15,1089,0.0,Clear,0
AA,JFK,ATL,7,2,19,760,31.2,Rain,0
DL,ATL,DFW,7,3,7,732,15.4,Clear,0
UA,DFW,ORD,7,3,13,802,0.0,Clear,0
AA,ORD,LAX,7,3,17,1745,18.9,Clear,0
DL,LAX,JFK,7,4,10,2445,22.1,Clear,0
UA,JFK,MIA,7,4,16,1089,0.0,Clear,0
AA,MIA,ATL,7,4,20,594,28.5,Rain,0
DL,ATL,LAX,7,5,8,1946,35.2,Rain,0
UA,LAX,ORD,7,5,18,1745,42.1,Rain,0
AA,ORD,MIA,7,5,19,1197,38.7,Rain,0
DL,MIA,DFW,7,6,11,1121,18.3,Clear,0
UA,DFW,JFK,7,6,17,1391,25.4,Clear,0
AA,JFK,LAX,7,6,21,2445,45.2,Rain,0
DL,LAX,ATL,7,7,9,1946,28.9,Clear,0
UA,ATL,ORD,7,7,15,606,15.7,Clear,0
AA,ORD,DFW,8,1,8,802,14.2,Clear,0
DL,DFW,MIA,8,1,14,1121,0.0,Clear,0
UA,MIA,LAX,8,1,18,2342,32.1,Rain,0
AA,LAX,JFK,8,2,9,2445,19.8,Clear,0
DL,JFK,ATL,8,2,15,760,0.0,Clear,0
UA,ATL,DFW,8,2,19,732,28.4,Rain,0
AA,DFW,ORD,8,3,7,802,16.7,Clear,0
DL,ORD,LAX,8,3,13,1745,0.0,Clear,0
UA,LAX,MIA,8,3,17,2342,22.3,Clear,0
AA,MIA,JFK,8,4,10,1089,25.9,Clear,0
DL,JFK,DFW,8,4,16,1391,0.0,Clear,0
UA,DFW,ATL,8,4,20,732,31.5,Rain,0
AA,ATL,ORD,8,5,8,606,38.7,Rain,0
DL,ORD,MIA,8,5,18,1197,44.3,Rain,0
UA,MIA,LAX,8,5,19,2342,41.2,Rain,0
AA,LAX,JFK,8,6,11,2445,22.8,Clear,0
DL,JFK,ATL,8,6,17,760,29.1,Clear,0
UA,ATL,ORD,8,6,21,606,35.6,Rain,0
AA,ORD,DFW,8,7,9,802,31.4,Clear,0
DL,DFW,LAX,8,7,15,1235,18.2,Clear,0
UA,LAX,MIA,9,1,8,2342,8.9,Clear,0
AA,MIA,JFK,9,1,14,1089,0.0,Clear,0
DL,JFK,ATL,9,1,18,760,15.3,Clear,0
UA,ATL,DFW,9,2,9,732,12.7,Clear,0
AA,DFW,ORD,9,2,15,802,0.0,Clear,0
DL,ORD,LAX,9,2,19,1745,18.4,Clear,0
UA,LAX,MIA,9,3,7,2342,21.6,Clear,0
AA,MIA,JFK,9,3,13,1089,0.0,Clear,0
DL,JFK,DFW,9,3,17,1391,16.8,Clear,0
UA,DFW,ATL,9,4,10,732,19.2,Clear,0
AA,ATL,ORD,9,4,16,606,0.0,Clear,0
DL,ORD,LAX,9,4,20,1745,22.5,Clear,0
UA,LAX,MIA,9,5,8,2342,28.7,Rain,0
AA,MIA,JFK,9,5,18,1089,35.1,Rain,0
DL,JFK,ATL,9,5,19,760,32.4,Rain,0
UA,ATL,DFW,9,6,11,732,15.9,Clear,0
AA,DFW,ORD,9,6,17,802,21.3,Clear,0
DL,ORD,MIA,9,6,21,1197,27.8,Clear,0
UA,MIA,LAX,9,7,9,2342,24.6,Clear,0
AA,LAX,JFK,9,7,15,2445,13.2,Clear,0
DL,JFK,ATL,10,1,8,760,9.4,Clear,0
UA,ATL,DFW,10,1,14,732,0.0,Clear,0
AA,DFW,ORD,10,1,18,802,17.6,Clear,0
DL,ORD,LAX,10,2,9,1745,14.8,Clear,0
UA,LAX,MIA,10,2,15,2342,0.0,Clear,0
AA,MIA,JFK,10,2,19,1089,20.1,Clear,0
DL,JFK,DFW,10,3,7,1391,23.5,Clear,0
UA,DFW,ATL,10,3,13,732,0.0,Clear,0
AA,ATL,ORD,10,3,17,606,18.7,Clear,0
DL,ORD,MIA,10,4,10,1197,21.9,Clear,0
UA,MIA,LAX,10,4,16,2342,0.0,Clear,0
AA,LAX,JFK,10,4,20,2445,25.3,Clear,0
DL,JFK,ATL,10,5,8,760,32.6,Rain,0
UA,ATL,DFW,10,5,18,732,39.2,Rain,0
AA,DFW,ORD,10,5,19,802,36.8,Rain,0
DL,ORD,LAX,10,6,11,1745,19.4,Clear,0
UA,LAX,MIA,10,6,17,2342,26.7,Clear,0
AA,MIA,JFK,10,6,21,1089,33.1,Clear,0
DL,JFK,DFW,10,7,9,1391,28.5,Clear,0
UA,DFW,ATL,10,7,15,732,16.3,Clear,0
AA,ATL,ORD,11,1,8,606,11.7,Clear,0
DL,ORD,LAX,11,1,14,1745,0.0,Clear,0
UA,LAX,MIA,11,1,18,2342,19.8,Clear,0
AA,MIA,JFK,11,2,9,1089,16.2,Clear,0
DL,JFK,ATL,11,2,15,760,0.0,Clear,0
UA,ATL,DFW,11,2,19,732,22.4,Clear,0
AA,DFW,ORD,11,3,7,802,25.6,Clear,0
DL,ORD,MIA,11,3,13,1197,0.0,Clear,0
UA,MIA,LAX,11,3,17,2342,20.9,Clear,0
AA,LAX,JFK,11,4,10,2445,24.1,Clear,0
DL,JFK,DFW,11,4,16,1391,0.0,Clear,0
UA,DFW,ATL,11,4,20,732,27.3,Clear,0
AA,ATL,ORD,11,5,8,606,34.5,Rain,0
DL,ORD,LAX,11,5,18,1745,41.7,Rain,0
UA,LAX,MIA,11,5,19,2342,38.9,Rain,0
AA,MIA,JFK,11,6,11,1089,21.8,Clear,0
DL,JFK,ATL,11,6,17,760,28.2,Clear,0
UA,ATL,DFW,11,6,21,732,34.6,Clear,0
AA,DFW,ORD,11,7,9,802,30.1,Clear,0
DL,ORD,MIA,11,7,15,1197,17.5,Clear,0
UA,MIA,LAX,12,1,8,2342,15.3,Clear,0
AA,LAX,JFK,12,1,14,2445,0.0,Clear,0
DL,JFK,ATL,12,1,18,760,23.7,Rain,0
UA,ATL,DFW,12,2,9,732,18.9,Clear,0
AA,DFW,ORD,12,2,15,802,0.0,Clear,0
DL,ORD,LAX,12,2,19,1745,26.4,Rain,0
UA,LAX,MIA,12,3,7,2342,29.8,Clear,0
AA,MIA,JFK,12,3,13,1089,0.0,Clear,0
DL,JFK,DFW,12,3,17,1391,22.1,Clear,0
UA,DFW,ATL,12,4,10,732,25.7,Clear,0
AA,ATL,ORD,12,4,16,606,0.0,Clear,0
DL,ORD,MIA,12,4,20,1197,28.9,Clear,0
UA,MIA,LAX,12,5,8,2342,42.3,Rain,0
AA,LAX,JFK,12,5,18,2445,48.7,Rain,0
DL,JFK,ATL,12,5,19,760,45.1,Rain,0
UA,ATL,DFW,12,6,11,732,26.5,Clear,0
AA,DFW,ORD,12,6,17,802,32.8,Clear,0
DL,ORD,LAX,12,6,21,1745,39.2,Rain,0
UA,LAX,MIA,12,7,9,2342,35.6,Clear,0
AA,MIA,JFK,12,7,15,1089,21.4,Clear,0
DL,JFK,ATL,12,1,20,760,52.3,Snow,1
UA,ATL,ORD,12,2,8,606,48.7,Snow,1
AA,ORD,DFW,12,3,18,802,55.1,Snow,1
